payment_id,PaymentID,order_id,OrderID,customer_id,CustomerID,payment_date,PaymentDate,amount,Amount_USD,currency,Currency,payment_method,PaymentMethod,transaction_id,TransactionID,status,PaymentStatus,gateway,Gateway,card_last4,CardLast4,bank_name,BankName,refund_amount,RefundAmount,refund_date,RefundDate,is_fraud,IsFraud,fraud_score,FraudScore,processing_fee,ProcessingFee,net_amount,NetAmount,billing_country,BillingCountry,notes,tmp_pay
PAY00000001,PAY00000001,ORD0000957,ORD0000957,CUST000129,CUST000129,09-10-2021,2021-10-25,USD 6828.32,€35884.67,€,GBP,debit,Wire,TXNH9EDZ5RC4I3G,TXN4326324920,completed,Failed,Manual,Square,2480,4791,Chase,Chase,0,0,,,No,No,0.8074,0.8074,USD 70.3,$46.29,2566.73,NULL,usa,US,<b>note</b>,
PAY00000002,PAY00000002,ORD0004691,ORD0004691,CUST000612,CUST000612,,031122,33343.73,"$18,953.53",GBP,EUR,BTC,ACH,TXNKNA4JW1B3VXY,TXN6730592712,chargeback,Completed,,Square,6739,7280,Citi,BofA,0,0,,,0,0,0.1951,0.1951,$51.08,USD 13.05,£44793.41,$30715.34,USA,DE,Manual review,
PAY00000003,PAY00000003,ORD0004399,ORD0004399,CUST001505,CUST001505,10/30/2023,11/07/2023,null,24359.63 USD,GBP,GBP,crypto,Credit Card,TXN3R380VNCODMD,TXN1687929763,failed,Completed,PayPal,Stripe,5653,9844,Barclays,Wells Fargo,0,0,,,false,false,0.8699,0.8699,39.22,89.45,36246.63,"$27,180.35",USA,GB,<b>note</b>,
PAY00000004,PAY00000004,ORD0000561,NULL,CUST001443,CUST001443,240823,2020/06/11,39298.03,€24388.06,€,null,PayPal,Credit Card,TXNC13I4J564BT7,N/A,failed,Failed,stripe,PayPal,7267,N/A,HSBC,Wells Fargo,0,0,,,0,0,0.3787,0.3787,24.15 USD,NaN,$21336.35,€17379.43,US,,∑ special,
PAY00000005,PAY00000005,ORD0004077,NaN,CUST000158,CUST000158,11/28/2023,02/15/2021,16503.41,44262.15,USD,GBP,ACH,Wire,TXNBN7R8T472BYO,TXN0133904854,Failed,Completed,Braintree,Stripe,1485,5461,HSBC,Chase,0,0,,,,false,0.5962,0.5962,67.54,-54.56,"$42,495.04",USD 33284.33,usa,NaN,Auto-processed,
PAY00000006,PAY00000006,ORD0003323,ORD0003323,NaN,CUST000046,2021-01-28,"November 11, 2021","$23,230.24",$41653.54,JPY,USD,BTC,ACH,TXN4F2AGJBV4KDE,TXN9849665167,Refunded,Completed,Manual,PayPal,****,7508,Wells Fargo,Chase,0,0,N/A,N/A,0,0,0.4481,0.4481,$62.33,$68.82,16920.97 USD,22631.48,US,JP,∑ special,N/A
PAY00000007,PAY00000007,ORD0002795,ORD0002795,CUST001089,CUST001089,05/12/2023,2020-09-14,USD 13443.53,€39624.56,EUR,USD,ACH,ACH,TXNSGC2O7DNJ9C7,TXN1996595548,Failed,Refunded,Stripe,Stripe,5319,4986,Wells Fargo,N/A,0,0,,,No,No,0.013,0.013,67.14,£90.77,15728.42 USD,N/A,,JP,null,
PAY00000008,PAY00000008,ORD0001032,ORD0001032,NULL,CUST000381,18-04-2022,2020/07/30,18680.24,34755.78 USD,EUR,EUR,cash,ACH,TXNWKD58NWTF08L,TXN0574044369,failed,Failed,Braintree,PayPal,5662,7983,,Wells Fargo,0,0,,,true,true,0.0119,0.0119,£33.73,£38.0,"$39,174.07","$20,863.10",usa,IN,∑ special,
PAY00000009,PAY00000009,ORD0002647,ORD0002647,CUST000706,CUST000706,250820,10/27/2022,33789.42,43130.14,USD,USD,credit_card,PayPal,TXN7KSF8VCB826Y,TXN8861797578,FAILED,Failed,Stripe,PayPal,6096,5860,HSBC,Wells Fargo,$18049.54,€8003.63,03/23/2020,2020-03-23,false,false,0.2882,0.2882,$37.78,$4.27,€9991.4,NULL,U.S.A,GB,<b>note</b>,
PAY00000010,,ORD0001280,ORD0001280,CUST000529,CUST000529,2023/02/13,"January 07, 2022",30974.4,£19996.91,INR,GBP,PayPal,ACH,TXNE88352BAK0WA,TXN8567344209,pending,Refunded,Manual,,6606,6292,Chase,Wells Fargo,0,0,,,false,false,0.2412,0.2412,$35.81,£95.88,47207.05,43625.41 USD,United States,GB,Flagged,
