product_id,ProductID,product_name,Product Name,category,Category,sub_category,brand,Brand,sku,SKU_Code,unit_price,Price_USD,cost_price,CostPrice,weight,Weight_kg,stock_quantity,StockQty,reorder_level,ReorderLevel,is_discontinued,IsDiscontinued,supplier_id,SupplierID,rating,Rating_Stars,warranty_months,WarrantyMonths,country_of_origin,Origin,launch_date,LaunchDate,last_updated,tags,tmp_notes
PROD00001,PROD00001,Webcam HD v1,Webcam HD v1,Networking,Networking,Business,NaN,,SKU-GBE7KOP7,UHX4035,N/A,3203.94,114.99,€332.53,17.2,18.76,8118,7813,70,47,,0,SUPP0030,SUPP0020,2.8,2.9,18,24,Japan,US,"February 17, 2017","March 24, 2021","bundle,sale",
PROD00002,PROD00002,Smartphone X12 v2,Smartphone X12 v2,Electronics,Electronics,Business,Samsung,Logitech,SKU-P6L8CZYE,ILK6074,€3020.34,1543.55,$640.93,1152.39,48.74,1.88 kg,NULL,6778,267,442,false,No,SUPP0028,SUPP0047,4.0,4.8,18,24,India,JP,07/31/2016,190420,"bundle,new",
PROD00003,NULL,Standing Desk ,Standing Desk ,Networking,Networking,Home,LG,Samsung,SKU-FV5NN5PQ,GUI2631,2225.36,3123.85 USD,1653.47,2710.61 USD,37470.0 g,1.83,1848,NULL,63,147,TRUE,Yes,SUPP0045,SUPP0017,null,4.3,18,24,India,US,010220,,sale,
PROD00004,PROD00004,Webcam HD v1,Webcam HD v1,Electronics,Electronics,Gaming,Apple,Dell,SKU-KFGVD3F1,VNP4694,1502.96,1426.96,661.38,40.11,109.83 lbs,27020.0 g,4549,3915,433,181,no,FALSE,SUPP0004,SUPP0028,2.2,4.8,18,6,South Korea,US,2018-03-18,,"sale,new,clearance",
PROD00005,PROD00005,External SSD Max,External SSD Max,Peripherals,Peripherals,Home,N/A,Apple,SKU-WI87RVBT,CEA5187,2999.32,$914.5,$679.78,2708.6,29.37,6.33 kg,6046,8461,350,248,Y,FALSE,SUPP0040,SUPP0031,3.2,2.2,24,24,Germany,DE,2022/11/19,02-07-2020,,
PROD00006,PROD00006,N/A,Wireless Mouse v1,Accessories,Accessories,Professional,Dell,Apple,SKU-93K0Z3JP,BZC7482,684.14,€4480.45,2203.51,1407.72,1.47,28980.0 g,187,8857,430,483,false,1,SUPP0025,SUPP0031,3.7,2.6,6,12,China,CN,"June 11, 2020",,,
PROD00007,NaN,USB-C Hub Lite,USB-C Hub Lite,Peripherals,Peripherals,Gaming,HP,HP,SKU-M1PBELBN,KSV8069,$547.11,$2266.68,2519.23,£376.62,43.57 lbs,48.02 kg,4511,7305,123,114,0,TRUE,SUPP0024,SUPP0013,3.4,N/A,6,12,Taiwan,DE,2015/05/09,2023-09-26,new,
PROD00008,PROD00008,USB-C Hub Plus,USB-C Hub Plus,Accessories,Accessories,Home,LG,null,SKU-UU2NF1FK,N/A,$792.21,USD 1473.14,$809.01,2034.13,49.42 kg,76.62 lbs,678,3330,null,440,yes,yes,SUPP0011,SUPP0016,5.0,4.5,24,24,India,US,071016,2022-03-20,,
PROD00009,PROD00009,4K Monitor v2,4K Monitor v2,Peripherals,Peripherals,Business,Logitech,N/A,SKU-4LDJFCYM,TEE7845,1086.29 USD,1141.22 USD,914.94,€2733.95,19.95 kg,107.63 lbs,3718,34,223,448,No,true,SUPP0023,SUPP0048,3.6,1.4,12,12,Germany,CN,2016-08-19,"July 23, 2020","sale,new",
PROD00010,PROD00010,Smart Watch v2,Smart Watch v2,Furniture,Furniture,Home,HP,Dell,SKU-LIXWJR1J,AIK5736,€1764.27,4480.47 USD,1126.51,USD 208.84,16230.0 g,,9873,9236,299,253,Y,no,SUPP0005,SUPP0043,4.2,1.7,24,24,USA,JP,07/02/2020,200823,N/A,
PROD00011,PROD00011,Smartphone X12 Pro,Smartphone X12 Pro,Mobile,Mobile,Professional,Samsung,Samsung,SKU-5FHKVQTD,LDH7932,$114.05,$1448.13,N/A,£1341.58,52.59 lbs,26.68 kg,4073,9349,261,442,true,Y,SUPP0049,SUPP0023,3.3,3.4,24,24,Japan,US,2020/12/14,"December 20, 2023","clearance,popular,new",
PROD00012,PROD00012,Mechanical Keyboard Max,Mechanical Keyboard Max,Electronics,Electronics,Business,Dell,HP,SKU-FFOFU6PJ,JBL1094,4369.25 USD,1884.6,82.34,null,49300.0 g,103.28 lbs,6203,N/A,79,165,Y,FALSE,SUPP0022,SUPP0014,1.8,1.5,24,12,China,CN,2021-10-15,310323,,
PROD00013,,4K Monitor Pro,4K Monitor Pro,Peripherals,Peripherals,Gaming,Logitech,HP,SKU-SKXMS1A4,NZG7955,$4030.21,£3679.26,N/A,174.18,22.69,19.62 lbs,3952,8613,180,483,1,Yes,SUPP0015,SUPP0042,2.6,2.4,6,24,Germany,CN,2020/08/16,25-08-2022,popular,
PROD00014,PROD00014,Mechanical Keyboard v1,null,Networking,Networking,Gaming,Logitech,NULL,SKU-K5DVSJ2G,HHM4095,2622.43,"$1,967.29",$2703.8,1047.18,70.03 lbs,14.29 lbs,2348,2521,322,290,yes,Yes,SUPP0001,N/A,1.5,2.6,null,24,China,US,,200223,bundle,
PROD00015,PROD00015,Router WiFi6 Lite,Router WiFi6 Lite,,Electronics,Gaming,Generic,Apple,SKU-KL73UEFY,ZTN9078,$2165.81,£1634.87,"$1,000.04",2909.9,99.64 lbs,2.75 kg,6364,1080,294,9,Yes,Y,SUPP0021,SUPP0010,2.6,3.2,6,null,South Korea,JP,220321,09/05/2022,,
PROD00016,PROD00016,4K Monitor Plus,4K Monitor Plus,Electronics,Electronics,Home,Dell,Apple,SKU-CKYLY7W0,MBG8473,N/A,1652.61,204.94,1808.52,25.6,12900.0 g,3027,809,241,71,No,0,SUPP0038,SUPP0049,1.8,3.8,18,12,South Korea,JP,180215,131120,"bundle,sale",
PROD00017,PROD00017,Smart Watch Pro,Smart Watch Pro,Networking,Networking,Home,LG,Apple,SKU-LKA1AZ92,CMG6706,$916.52,£280.22,USD 1512.79,2630.94 USD,38480.0 g,3.59 lbs,7420,6809,30,395,N,TRUE,SUPP0016,SUPP0020,3.4,3.6,18,24,China,US,150618,2022/02/12,clearance,
PROD00018,PROD00018,<script>alert(1)</script>,Webcam HD Lite,Mobile,Mobile,Professional,Generic,HP,SKU-3O2IDYV7,WZQ8285,NULL,NaN,USD 2157.23,€2982.99,2570.0 g,9.97 kg,7028,6382,35,419,yes,Yes,SUPP0044,SUPP0039,3.8,3.1,12,12,Taiwan,KR,2022-05-26,"April 08, 2021",,
PROD00019,PROD00019,Wireless Mouse ,Wireless Mouse ,Electronics,Electronics,Professional,Samsung,Apple,SKU-BG3WVDVZ,TYM9069,USD 2911.11,3608.57,USD 872.61,933.39,38.22 kg,49610.0 g,4066,2098,NaN,403,1,true,SUPP0037,SUPP0027,3.6,3.8,24,12,Germany,CN,020415,,null,
PROD00020,PROD00020,Mechanical Keyboard ,Mechanical Keyboard ,Electronics,Electronics,Professional,Apple,Logitech,SKU-YGB0LPIT,WAH8014,4514.97,€4993.08,$2702.63,USD 627.53,76.76 lbs,23.5,8110,4333,387,324,no,true,SUPP0007,SUPP0003,3.5,3.9,12,N/A,Japan,CN,2019/11/21,2022-07-17,,
PROD00021,PROD00021,Smart Watch v2,Smart Watch v2,Mobile,Mobile,,Apple,Logitech,SKU-RS6UI795,PRZ9921,3606.64,$1259.13,€858.99,NaN,45.48,38.88,4846,9178,150,423,true,NULL,SUPP0001,SUPP0046,3.9,1.2,12,12,,DE,2022-05-30,"March 14, 2020",clearance,
PROD00022,PROD00022,∑ω∂,Smartphone X12 Max,Furniture,Furniture,Gaming,Dell,Dell,SKU-B6ILWYLH,DTD4219,296.44 USD,£4148.82,864.98,1594.53,92.59 lbs,28.0 lbs,474,2842,409,121,true,yes,SUPP0002,SUPP0002,2.2,3.4,36,6,South Korea,DE,"April 26, 2017",22-04-2021,"bundle,clearance",
PROD00023,PROD00023,Noise Cancelling Headphones v2,Noise Cancelling Headphones v2,Electronics,Electronics,Professional,NULL,Apple,N/A,YJY4885,2893.67,"$1,353.42",€2938.79,€2182.3,47.56 lbs,14880.0 g,3702,6820,138,434,1,TRUE,SUPP0014,SUPP0003,4.7,4.5,6,24,USA,JP,09/23/2020,191120,"bundle,sale,new",
PROD00024,PROD00024,Office Chair v1,Office Chair v1,Peripherals,Peripherals,Professional,Samsung,Samsung,SKU-OP0XS4RF,PYY2381,135.93,"$2,223.03","$1,080.83",429.04,0.57 kg,40700.0 g,3637,887,383,199,1,0,NULL,NaN,4.2,3.9,18,,Germany,KR,2023/02/25,22-09-2020,"bundle,clearance",
PROD00025,PROD00025,null,External SSD Max,Mobile,Mobile,Business,LG,Logitech,SKU-SLYMD1MW,FEM4496,$1996.3,£4537.8,€809.18,£2998.85,23580.0 g,28070.0 g,3162,9506,346,NaN,0,yes,SUPP0032,SUPP0029,3.7,4.1,6,12,South Korea,US,281015,2021/11/15,"bundle,new",
PROD00026,PROD00026,USB-C Hub ,USB-C Hub ,Accessories,Accessories,Business,Generic,Samsung,SKU-RQFD2PCA,FNP9571,3865.05,1943.05,2952.47,1616.63,28720.0 g,N/A,84,9729,,82,TRUE,N,SUPP0046,SUPP0040,NaN,4.2,6,12,Germany,NULL,24-09-2023,"August 06, 2021",bundle,
PROD00027,N/A,"Tablet 10"" Lite","Tablet 10"" Lite",Furniture,Furniture,Home,,Samsung,SKU-VSVRV4PN,CXM1621,"$2,731.86",£3921.41,1098.39,148.27,33590.0 g,29.61 kg,6564,2619,162,438,true,No,SUPP0043,SUPP0016,1.2,4.2,36,6,Taiwan,KR,21-05-2023,"November 17, 2021",,null
PROD00028,PROD00028,Standing Desk ,Standing Desk ,Networking,Networking,Gaming,Samsung,Logitech,SKU-5NKHT0GS,MVC7267,2921.0,696.0 USD,2092.59,"$1,806.22",NaN,29.29,N/A,934,291,461,true,TRUE,null,SUPP0040,3.3,3.7,18,6,Taiwan,DE,10/03/2016,2023/11/26,"sale,new",
PROD00029,PROD00029,Standing Desk v2,Standing Desk v2,Accessories,Accessories,Budget,Sony,Apple,SKU-TH4FXJLY,LCV7546,NaN,??,null,null,47.55,38410.0 g,1341,5189,408,99,Y,No,SUPP0004,SUPP0024,4.7,3.1,18,24,Japan,,26-11-2020,"March 05, 2021","new,sale,bundle",
PROD00030,PROD00030,Smartphone X12 Max,Smartphone X12 Max,NULL,Networking,Business,Dell,Apple,SKU-77MNMV20,OSS7473,"$1,793.76",£259.32,1630.54,2833.18,28050.0 g,27950.0 g,null,,N/A,464,no,1,SUPP0035,SUPP0049,1.5,NaN,12,12,China,JP,21-12-2021,"August 27, 2021",clearance,
PROD00031,PROD00031,External SSD Max,External SSD Max,Furniture,Furniture,Budget,HP,Samsung,SKU-MHT2IX4Q,MND5962,4264.29 USD,433.76,587.34,$829.01,28.59 kg,14.02,9202,6455,196,156,1,false,SUPP0040,SUPP0043,4.7,3.9,24,24,India,KR,N/A,060221,popular,
PROD00032,NULL,4K Monitor v1,4K Monitor v1,Electronics,Electronics,Gaming,Sony,Logitech,SKU-2S2MK2XT,XRM2715,3132.23,$3981.33,"$2,881.98",2315.1,13.52,1.86,5784,5118,131,19,yes,Y,SUPP0003,SUPP0003,2.1,1.3,12,,Taiwan,KR,09/22/2021,18-06-2023,"new,sale,bundle",
PROD00033,PROD00033,N/A,Office Chair ,Mobile,Mobile,Gaming,Apple,Samsung,SKU-PKQPEL4H,BDL6582,1035.21,null,N/A,2297.79 USD,68.75 lbs,11350.0 g,3333,3946,122,NaN,N/A,Yes,SUPP0028,SUPP0023,4.0,4.7,36,6,China,US,2017/04/24,16-10-2020,"clearance,sale,bundle",
PROD00034,PROD00034,"Tablet 10"" v2","Tablet 10"" v2",Mobile,Mobile,Gaming,Logitech,Logitech,SKU-79VQEIOO,PPJ2716,,$325.72,"$1,357.67",£2773.4,23.41 kg,44.13,1969,NaN,188,85,TRUE,false,SUPP0015,SUPP0025,4.4,2.4,12,12,Germany,US,NaN,07/25/2021,"sale,clearance",
PROD00035,PROD00035,Mechanical Keyboard v2,Mechanical Keyboard v2,Peripherals,Peripherals,Home,Sony,Apple,SKU-NQAL3G7P,IQV7605,$236.98,€3557.56,€2667.19,,48160.0 g,42.69 lbs,5681,4349,484,112,Y,0,SUPP0027,SUPP0032,2.5,1.8,18,6,NaN,DE,12/07/2018,2021/05/27,,
PROD00036,PROD00036,Webcam HD v2,Webcam HD v2,,Accessories,Professional,Apple,Samsung,SKU-EZX2N48E,UGH1568,-8167,€676.1,"$2,350.75",€572.4,21.31 kg,23.09,1030,3151,,124,Y,N,SUPP0042,SUPP0030,4.5,4.6,6,12,Germany,US,02/11/2020,23-08-2021,"bundle,popular,new",
PROD00037,PROD00037,Webcam HD Plus,Webcam HD Plus,Electronics,Electronics,Gaming,Samsung,Samsung,SKU-J6FY3KG6,MIL6708,N/A,4611.51 USD,USD 380.99,1675.49 USD,90.54 lbs,NaN,1690,5956,212,84,true,Yes,SUPP0028,SUPP0002,1.5,1.4,18,6,USA,JP,NaN,140221,"clearance,bundle",
PROD00038,PROD00038,4K Monitor v1,4K Monitor v1,Accessories,Accessories,Gaming,Logitech,Dell,SKU-Y3KGFE2B,UTH7093,170.62 USD,NULL,,€2489.5,32820.0 g,106.02 lbs,7102,3968,475,254,yes,1,SUPP0048,SUPP0035,2.5,1.2,24,12,South Korea,JP,06/16/2018,"September 21, 2023",bundle,
